group.type,group.name,group.description,year,e.rr.pct.new,e.rr.pct.new.lo,e.rr.pct.new.hi,e.rr.pct.new.se,e.rr.pct.ret,e.rr.pct.ret.lo,e.rr.pct.ret.hi,e.rr.pct.ret.se,e.inc.rr.num,e.inc.rr.num.lo,e.inc.rr.num.hi,e.inc.rr.100k,e.inc.rr.100k.lo,e.inc.rr.100k.hi,e.mdr.pct.rr,e.inc.mdr.num,e.inc.mdr.num.lo,e.inc.mdr.num.hi,e.rr.in.notified.pulm,e.rr.in.notified.pulm.lo,e.rr.in.notified.pulm.hi,e.rr.in.notified.labconf.pulm,e.rr.in.notified.labconf.pulm.lo,e.rr.in.notified.labconf.pulm.hi
g_whoregion,AFR,WHO African Region,2016,2.7,2,3.5,0.4,14,8.4,20,2.8,93000,81000,106000,9.2,8,11,,62000,50000,76000,40000,36000,44000,25000,22000,28000
g_whoregion,AFR,WHO African Region,2017,2.7,1.7,4,0.6,14,0.49,43,11,87000,72000,102000,8.4,7,9.8,68,59000,49000,70000,39000,36000,43000,26000,23000,28000
g_whoregion,AFR,WHO African Region,2018,2.5,1.6,3.6,0.52,12,0.55,39,9.7,77000,65000,91000,7.3,6.1,8.5,75,58000,48000,68000,38000,35000,41000,25000,23000,27000
g_whoregion,AFR,WHO African Region,2019,2.6,1.6,3.7,0.52,11,2.2,27,6.2,77000,64000,90000,7,5.8,8.3,76,58000,48000,69000,38000,35000,42000,25000,23000,27000
g_whoregion,AFR,WHO African Region,2020,2.5,1.6,3.7,0.53,11,2.2,27,6.3,75000,62000,89000,6.7,5.5,7.9,73,55000,45000,65000,37000,33000,40000,24000,21000,26000
g_whoregion,AMR,WHO/PAHO Region of the Americas,2016,2.9,1.4,4.3,0.7,13,6.9,20,3.2,12000,11000,13000,1.2,1.1,1.3,,10000,8600,12000,8300,7700,8900,5900,5400,6300
g_whoregion,AMR,WHO/PAHO Region of the Americas,2017,2.7,1.6,4,0.6,12,3.8,24,5.2,11000,9400,12000,1.1,0.94,1.2,86,9200,8100,10000,8100,7600,8700,6100,5700,6500
g_whoregion,AMR,WHO/PAHO Region of the Americas,2018,2.5,1.5,3.8,0.58,12,4,24,5.1,11000,9200,12000,1,0.92,1.2,84,8800,7700,10000,8000,7400,8600,6100,5700,6600
g_whoregion,AMR,WHO/PAHO Region of the Americas,2019,2.5,1.5,3.8,0.58,12,3.9,23,5,11000,9200,12000,1,0.91,1.2,87,9100,8000,10000,7900,7300,8400,6100,5700,6600
g_whoregion,AMR,WHO/PAHO Region of the Americas,2020,2.5,1.4,3.9,0.65,12,3.9,23,4.8,11000,9100,12000,1,0.89,1.2,82,8600,7500,9900,6600,6000,7100,5100,4700,5500
g_whoregion,EMR,WHO Eastern Mediterranean Region,2016,4.2,1.7,6.7,1.3,17,14,19,1.4,41000,31000,52000,6.1,4.6,7.7,,34000,22000,48000,21000,18000,24000,11000,9500,12000
g_whoregion,EMR,WHO Eastern Mediterranean Region,2017,4.3,3,5.8,0.7,18,2.9,43,10,39000,30000,51000,5.7,4.3,7.3,79,31000,23000,40000,21000,18000,24000,12000,10000,13000
g_whoregion,EMR,WHO Eastern Mediterranean Region,2018,4,2.8,5.4,0.68,16,2.2,41,9.8,38000,28000,50000,5.5,4,7.2,85,33000,24000,43000,20000,17000,23000,11000,9400,12000
g_whoregion,EMR,WHO Eastern Mediterranean Region,2019,4,2.8,5.4,0.66,12,1.5,32,7.8,36000,26000,47000,5,3.6,6.6,82,29000,21000,39000,17000,14000,19000,9100,7700,11000
g_whoregion,EMR,WHO Eastern Mediterranean Region,2020,3.9,2.7,5.3,0.66,10,0.72,30,7.3,34000,25000,46000,4.7,3.4,6.3,83,29000,21000,38000,14000,11000,16000,7700,6500,8900
g_whoregion,EUR,WHO European Region,2016,19,12,26,3.6,55,43,67,6.1,122000,110000,134000,13,12,15,,116000,93000,142000,77000,76000,78000,49000,48000,49000
g_whoregion,EUR,WHO European Region,2017,17,16,18,0.62,53,46,61,3.8,79000,63000,98000,8.6,6.8,11,84,67000,53000,82000,77000,76000,77000,48000,48000,49000
g_whoregion,EUR,WHO European Region,2018,18,16,19,0.65,54,47,61,3.6,77000,60000,95000,8.3,6.5,10,84,65000,51000,80000,77000,77000,78000,49000,49000,49000
g_whoregion,EUR,WHO European Region,2019,17,16,18,0.66,52,45,59,3.6,70000,55000,87000,7.5,5.9,9.4,86,60000,47000,75000,74000,74000,75000,46000,45000,46000
g_whoregion,EUR,WHO European Region,2020,18,17,20,0.72,53,45,60,3.9,69000,54000,86000,7.4,5.8,9.2,88,61000,48000,76000,60000,59000,60000,37000,37000,37000
g_whoregion,SEA,WHO South-East Asia Region,2016,2.8,2.4,3.1,0.2,13,10,15,1.2,214000,163000,272000,11,8.4,14,,180000,130000,239000,118000,106000,130000,63000,56000,70000
g_whoregion,SEA,WHO South-East Asia Region,2017,2.7,1.8,3.7,0.47,13,4.3,25,5.4,180000,126000,243000,9.2,6.4,12,92,166000,116000,225000,93000,82000,104000,62000,55000,70000
g_whoregion,SEA,WHO South-East Asia Region,2018,2.6,2,3.4,0.37,14,7.7,23,3.8,182000,126000,249000,9.2,6.3,13,77,140000,97000,191000,118000,108000,127000,73000,68000,78000
g_whoregion,SEA,WHO South-East Asia Region,2019,2.5,1.9,3.3,0.35,14,7.7,21,3.5,171000,117000,236000,8.6,5.9,12,75,128000,88000,176000,121000,110000,131000,67000,61000,73000
g_whoregion,SEA,WHO South-East Asia Region,2020,2.4,1.9,2.9,0.27,13,7.1,21,3.5,158000,114000,210000,7.8,5.6,10,82,129000,93000,172000,86000,83000,90000,51000,49000,53000
g_whoregion,WPR,WHO Western Pacific Region,2016,5.3,2.9,7.8,1.2,25,20,29,2.4,119000,101000,139000,6.3,5.3,7.3,,91000,59000,130000,88000,76000,100000,36000,32000,40000
g_whoregion,WPR,WHO Western Pacific Region,2017,5,3.8,6.4,0.67,23,12,38,6.8,110000,86000,137000,5.7,4.5,7.1,76,84000,66000,104000,87000,75000,98000,36000,33000,40000
g_whoregion,WPR,WHO Western Pacific Region,2018,4.6,3.5,5.9,0.63,16,7.4,28,5.3,99000,79000,122000,5.2,4.1,6.4,74,74000,59000,91000,81000,69000,92000,36000,32000,40000
g_whoregion,WPR,WHO Western Pacific Region,2019,4.6,3.5,5.9,0.62,24,16,32,4.2,101000,81000,123000,5.2,4.2,6.4,75,75000,60000,92000,86000,75000,96000,43000,39000,48000
g_whoregion,WPR,WHO Western Pacific Region,2020,3,2.5,3.6,0.27,22,15,30,3.8,73000,60000,88000,3.8,3.1,4.5,88,65000,53000,77000,50000,48000,51000,29000,28000,30000
global,global,Global,2016,4.1,2.8,5.3,0.7,19,9.8,27,4.5,601000,541000,664000,8.1,7.3,8.9,,494000,424000,569000,351000,334000,369000,189000,180000,198000
global,global,Global,2017,3.5,2.5,4.7,0.57,18,6.3,34,7,505000,439000,577000,6.7,5.8,7.7,82,416000,361000,475000,325000,308000,342000,191000,182000,200000
global,global,Global,2018,3.4,2.5,4.4,0.51,18,7.6,31,5.9,484000,417000,556000,6.4,5.5,7.3,78,377000,325000,434000,341000,325000,357000,200000,193000,207000
global,global,Global,2019,3.3,2.4,4.4,0.5,18,9.7,27,4.5,465000,400000,535000,6.1,5.2,7,78,361000,310000,415000,343000,328000,359000,196000,188000,204000
global,global,Global,2020,2.9,2.2,3.8,0.42,17,9.2,27,4.5,421000,367000,478000,5.4,4.7,6.1,83,347000,303000,394000,253000,247000,258000,153000,150000,157000
