iso3,year,pop,newinc,adj.newinc,inc,inc.lo,inc.hi
IRQ,2000,23497589,41.2680637149624,41.2680637149624,50.3463982988706,44.1201271941044,56.9774300310409
IRQ,2001,24208178,43.2828939046962,43.2828939046962,49.902036368973,43.7338480485255,56.470994165046
IRQ,2002,24931922,47.7219526035739,47.7219526035739,49.4467415579417,43.3366810163286,55.953668331645
IRQ,2003,25644503,45.4522359041234,45.4522359041234,48.986238947849,42.9343275876387,55.4311551118599
IRQ,2004,26313838,39.8953584802035,39.8953584802035,48.5118387689163,42.5181336414512,54.8947987398579
IRQ,2005,26922279,35.1158978777391,35.1158978777391,48.0412320577085,42.1197833265845,54.3462685087585
IRQ,2006,27448124,29.3025490558116,29.3025490558116,47.5728483958188,41.6955154017556,53.8318575067597
IRQ,2007,27911242,28.171444323402,28.171444323402,47.0610889658436,41.2843179579075,53.2104355750569
IRQ,2008,28385739,32.0548286588558,32.0548286588558,46.6427192865198,40.8957880700882,52.7617906261459
IRQ,2009,28973157,32.3920517187685,32.3920517187685,46.1011327673147,40.3986177569006,52.1744633653252
IRQ,2010,29741977,32.6373730972894,32.6373730972894,45.2679302376961,39.6532265130981,51.2488052405669
IRQ,2011,30725305,28.7613092856198,28.7613092856198,44.2519642763861,38.6890895869934,50.1828778470343
IRQ,2012,31890012,27.1683811219638,27.1683811219638,42.893455525959,37.6341503859363,48.4915722004214
IRQ,2013,33157061,25.7984264648788,26.4870908263643,41.0120040143712,35.8879073716319,46.4729085169629
IRQ,2014,34411949,24.0265379912077,25.0798935190059,38.9896627967451,34.1371455916966,44.1598208994388
IRQ,2015,35572269,23.0038741695111,23.1893892837813,37.0358502181161,32.5451192359145,41.8124760329779
IRQ,2016,36610632,19.7920647750632,20.7681687041586,34.9389495316158,30.9104728056319,39.2105112664446
IRQ,2017,37552789,20.3553456442343,21.1594029565845,32.7513082827121,28.6579458812315,37.1138480179096
IRQ,2018,38433604,18.4838247279646,19.9179145775481,30.5016024113327,26.6498078637906,34.609510297775
IRQ,2019,39309789,16.830413411784,18.1362213489052,28.1662249127667,24.6573178263882,31.9050886770539
